1,grocery,go to grocery store,,5/12/17 1:57,5/12/17 1:57
2,food,go to grocery store,,5/13/17 1:57,5/13/17 1:57
3,milk,go to grocery store,,5/14/17 1:57,5/14/17 1:57
4,cheese,go to grocery store,,5/15/17 1:57,5/15/17 1:57
5,eggs,go to grocery store,,5/16/17 1:57,5/16/17 1:57
6,deli,go to grocery store,,5/17/17 1:57,5/17/17 1:57
7,beef,go to grocery store,,5/18/17 1:57,5/18/17 1:57
8,ground beef,go to grocery store,,5/19/17 1:57,5/19/17 1:57
9,turkey,go to grocery store,,5/20/17 1:57,5/20/17 1:57
10,AA batteries,go to department store,,5/21/17 1:57,5/21/17 1:57
11,AAA batteries,go to department store,,5/22/17 1:57,5/22/17 1:57
12,C Battery,go to department store,,5/23/17 1:57,5/23/17 1:57
13,D Battery,go to department store,,5/24/17 1:57,5/24/17 1:57
14,tv,go to department store,,5/25/17 1:57,5/25/17 1:57
15,cell phone,go to department store,,5/26/17 1:57,5/26/17 1:57
16,phone,go to department store,,5/27/17 1:57,5/27/17 1:57
17,radio,go to department store,,5/28/17 1:57,5/28/17 1:57
18,pet food,go to pet store,,5/29/17 1:57,5/29/17 1:57
19,cat nip,go to pet store,,5/30/17 1:57,5/30/17 1:57
20,batteries,go to department store,,5/31/17 1:57,5/31/17 1:57
21,chicken,go to grocery store,,6/1/17 1:57,6/1/17 1:57
22,groceries,go to grocery store,,6/2/17 1:57,6/2/17 1:57
23,ice cream,go to grocery store,,6/3/17 1:57,6/3/17 1:57
24,bread,go to grocery store,,6/4/17 1:57,6/4/17 1:57
25,ketchup,go to grocery store,,6/5/17 1:57,6/5/17 1:57
26,mustard,go to grocery store,,6/6/17 1:57,6/6/17 1:57
27,towel,go to department store,,6/7/17 1:57,6/7/17 1:57
28,bath towel,go to department store,,6/8/17 1:57,6/8/17 1:57
29,toothbrush,go to department store,,6/9/17 1:57,6/9/17 1:57
30,bowl,go to department store,,6/10/17 1:57,6/10/17 1:57
31,plastic cup,go to department store,,6/11/17 1:57,6/11/17 1:57
32,cup,go to department store,,6/12/17 1:57,6/12/17 1:57
33,collar,go to pet store,,6/13/17 1:57,6/13/17 1:57
34,leash,go to pet store,,6/14/17 1:57,6/14/17 1:57
35,calculator,go to department store,,6/15/17 1:57,6/15/17 1:57
36,disposable cup,go to department store,,6/16/17 1:57,6/16/17 1:57
37,trashbag,go to department store,,6/17/17 1:57,6/17/17 1:57
38,cash,go to bank,,6/18/17 1:57,6/18/17 1:57
39,cream,go to grocery store,,6/19/17 1:57,6/19/17 1:57
40,oil change,go to mechanic,,6/20/17 1:57,6/20/17 1:57
41,haircut,go to barber,,6/21/17 1:57,6/21/17 1:57
42,deposit,go to bank,,6/22/17 1:57,6/22/17 1:57
43,withdrawal,go to bank,,6/23/17 1:57,6/23/17 1:57
44,brake,go to mechanic,,6/24/17 1:57,6/24/17 1:57
45,pedicure,go to salon,,6/25/17 1:57,6/25/17 1:57
46,manicure,go to salon,,6/26/17 1:57,6/26/17 1:57
47,glasses,go to optometrist,,6/27/17 1:57,6/27/17 1:57
48,teeth cleaning,go to dentist,,6/28/17 1:57,6/28/17 1:57
49,checkup,go to doctor,,6/29/17 1:57,6/29/17 1:57
50,contact lenses,go to optometrist,,6/30/17 1:57,6/30/17 1:57
51,prescription,go to pharmacy,,7/1/17 1:57,7/1/17 1:57
52,rotate tires,go to mechanic,,7/2/17 1:57,7/2/17 1:57
53,airport,go to airport,,7/3/17 1:57,7/3/17 1:57
54,flight,go to airport,,7/4/17 1:57,7/4/17 1:57
55,arrival,go to airport,,7/5/17 1:57,7/5/17 1:57
56,departure,go to airport,,7/6/17 1:57,7/6/17 1:57
57,stamps,go to post office,,7/7/17 1:57,7/7/17 1:57
58,package,go to post office,,7/8/17 1:57,7/8/17 1:57
59,buy stamps,go to post office,,7/9/17 1:57,7/9/17 1:57
60,mail,go to post office,,7/10/17 1:57,7/10/17 1:57
61,doctor,go to doctor,,7/11/17 1:57,7/11/17 1:57
62,hospital,go to hospital,,7/12/17 1:57,7/12/17 1:57
63,er,go to emergency room,,7/13/17 1:57,7/13/17 1:57
64,reading glasses,go to department store,,7/14/17 1:57,7/14/17 1:57
65,hair permed,go to salon,,7/15/17 1:57,7/15/17 1:57
66,train,go to train station,,7/16/17 1:57,7/16/17 1:57
67,home,go home,,7/17/17 1:57,7/17/17 1:57
68,parents house,go to parents' house,,7/18/17 1:57,7/18/17 1:57
69,grandparent's house,go to grandparent's house,,7/19/17 1:57,7/19/17 1:57
70,aunt's house,go to aunt's house,,7/20/17 1:57,7/20/17 1:57
71,uncle's house,go to uncle's house,,7/21/17 1:57,7/21/17 1:57
72,aunt,go to aunt's house,,7/22/17 1:57,7/22/17 1:57
73,uncle,go to uncle's house,,7/23/17 1:57,7/23/17 1:57
74,grandparents,go to grandparents' house,,7/24/17 1:57,7/24/17 1:57
75,parents,go to parents' house,,7/25/17 1:57,7/25/17 1:57
76,job,go to work,,7/26/17 1:57,7/26/17 1:57
77,work,go to work,,7/27/17 1:57,7/27/17 1:57
78,career,go to work,,7/28/17 1:57,7/28/17 1:57
79,cousin,go to cousin's house,,7/29/17 1:57,7/29/17 1:57